id,text,label
702,សៀវភៅរឿងនេះល្អមើលណាស់ខ្ញុំដាក់មិនចុះ,POS
796,អាហារនៅភោជនីយដ្ឋាននេះឆ្ងាញ់ណាស់,POS
2334,ទាក់ទាញ,POS
994,ទេសភាពព្រៃឈើនៅរដូវវស្សាពិតជាស្រស់បំព្រង,POS
1732,អប់រំល្អ,POS
939,ការគាំទ្ររបស់គ្រួសារគឺជាកម្លាំងចិត្តដ៏ធំ,POS
1325,តារាចម្រៀងអស្ចារ្យ,POS
481,ការផ្តល់យោបល់របស់អ្នកមានប្រយោជន៍ខ្លាំងណាស់,POS
314,សេវាកម្មរហ័សទាន់ចិត្តគួរឱ្យពេញចិត្ត,POS
1066,អាហារនេះឆ្ងាញ់ណាស់សូមសរសើរ,POS
823,ចិត្តល្អណាស់,POS
2209,ទីក្រុង,POS
375,ការទទួលស្វាគមន៍យ៉ាងកក់ក្តៅពីម្ចាស់ផ្ទះ,POS
1893,ចំណេះដឹងទ្រព្យ,POS
1951,ផ្តល់ជូនល្អពេក,POS
1682,ជួយសង្គ្រោះ,POS
2280,កម្សាន្ត,POS
329,ភាពស្ងប់ស្ងាត់នៃចិត្តនាំមកនូវសេចក្តីសុខ,POS
1830,សេវាល្អ,POS
589,ភាពស្រស់ស្អាតនៃផ្កានេះធ្វើឱ្យខ្ញុំចាប់អារម្មណ៍,POS
2123,មូលដ្ឋាន,POS
550,ការទទួលស្វាគមន៍នៅសណ្ឋាគារនេះល្អឥតខ្ចោះ,POS
898,ភាពជោគជ័យនៃគម្រោងនេះគឺជាមោទនភាពរបស់យើង,POS
76,គ្រឿងបន្លាស់ពេញលេញ និងសមរម្យ,POS
559,ខ្ញុំពេញចិត្តនឹងភាពស្មោះត្រង់របស់អ្នកណាស់,POS
2242,អប់រំ,POS
925,ការច្នៃប្រឌិតរបស់អ្នកជួយដោះស្រាយបញ្ហាបានច្រើន,POS
1520,តែឈ្ងុយឆ្ងាញ់,POS
1331,សួនច្បារខ្យល់ល្អ,POS
263,គ្រូបង្រៀនពន្យល់មេរៀនបានច្បាស់លាស់ល្អ,POS
716,សន្តិភាពផ្លូវចិត្តគឺជាអ្វីដែលខ្ញុំស្វែងរក,POS
2373,ទន្លេ,POS
2198,អង្គរ,POS
2003,វាលស្រែ,POS
