id,text,label
1,"Cooking microwave pizzas, yummy",POS
2,Any plans of allowing sub tasks to show up in the widget?,NEU
3," I love the humor, I just reworded it. Like saying 'group therapy' instead`a 'gang banging'. Keeps my moms off my back.   Hahaha",POS
4, naw idk what ur talkin about,NEU
5, That sucks to hear. I hate days like that,NEG
6, Umm yeah. That`s probably a pretty good note to self because eeeeeewwwwwwww.,POS
7, whatever do you mean?,NEU
8, That would panic me a little!  Maybe you can read on an orbitron at the gym like I do...when all else fails?!?,NEG
9,Is sad when people`s phones are dead,NEG
10,  sad face.,NEG
11,"In cafe management, the end of the month is nothing but numbers. My arty little head hurts from finding discrepencies",NEG
12,"Basically I`ve listened to Miley Cyrus for fourteen hours now, and I love it.",POS
13, what did you think of the finale?  I thought it was kind of a cheap way out,NEG
14," I think that boat sailed my friend... The few CCO`s that had them, had them months ago....  I wish you luck though...",POS
15,Gave my mommy her Mother`s Day present. Tickets to Aerosmith (her favorite band everr.) Yay for a good reaction.,POS
16,"Installed office for Mac & messed up all my fonts on safari, **** on a stick! help! can`t even read the solutions online  #badmicrosoft",NEG
17, You`re welcome...,POS
18,Ok so I`m **** hungry....!  I`m fat I know..I know..! Aha,NEG
19,Early monday cramming... yay. Only a few weeks left,NEU
20,ok its FF soooo why isn`t anyone following MEEEE??? LOL ughhhh I have some lazy a%# followers they wont even help me out,NEU
21,Has Ruth today,NEU
22,(bye) plurk out muna. will be back when im done reading the book  http://plurk.com/p/rq9c7,NEU
23,gonna have a lazy day today,NEG
24,I am tired.,NEG
25, http://twitpic.com/3ernb - Loving The Jumper,POS
26,"_NZ busy,fun mother`s day thanks  got what I wanted...a Wii Fit!!! Yay",POS
27,"This app is just great, it not only reminds me what I need to do, it really motivates me to do stuff. the only problem I'm facing, whenever I try to mark a task as completed, the task crashes, and then it updates and actually shown as completed, except this annoying bug, I love it.",POS
28,Still at work.,NEU
29,_by_spork we shall see,NEU
30,"Guess I`m gonna try the nap thing again 2day, but since my kids haven`t cooperated with it yet this week I`m sure 2day won`t be different",NEG
31,odd i tried to call mitchel musso but it dosent work....,NEG
32,LUCY IS HATING ON MY GWEG!,NEG
33,"  Ah  sameway Yet, has 2006 votes ((.We need more vote :`D",NEU
34,@_missrachel how much?,NEU
35,"shall bring his own glass to work from tonight, no more `half half` hor!!",NEU
36,"Not as useful as Wunderlist... Yet!! Would prefer to have a tab for the ""week"". Not just day, that way I can anticipate. Also wish items would show up in my calendar.",NEU
37,"() UGH, i love tila. haters need to shut up",NEU
38,Wow - the dude said I was better than Bobbi Lewis.. never heard the guy - but I take that as a compliment  (just read the BL web site),POS
39, oh no  say it aint so,NEG
40,"Great planning app, reliable and easy to use.",POS
41,is chilling at home,POS
42,I hope that they could have an alarm after the rest session ends,NEU
43,Helpful to visualize recurring events on Google calendar.,POS
44,yep... i think i might have just made the decision to go head first...  we may be witnessing a historical moment... real talk,NEU
45, was jst out there wednesday,NEU
46, Could get  to do the honours?,NEU
47, yeah... it`s gonna be a long while for me.,NEU
48,"waking now, so lazy and very worry ...",NEG
49, hehe i will never thorw out these shoes  i`m listening to varsity fanclub surprise surprise  sway sway baby is awesome,POS
50, thanks dinno  appreciate it,POS
51,Upgraded and lost all my tasks from previous version ... very disappointed!!!,NEG
52,Dam only 5 votes  not gonna win anything now,NEG
53,Hebrew language doesn't work...,POS
54,Loving Lego Indiana Jones. A game-researching aracheologist`s dream,POS
55,Download movie  'Ben 10: Alien Force' http://tinyurl.com/czb7b2 cool #movie,POS
56," Years ago, my brother saw you and Bruce walking on the sidewalk in Sanibel. I used to live on Pine Is. Great place",POS
57, so technically....i havent really gotten out of bed. so i think you`re right and i`m gonna stay here!,NEU
58,Stu is actually SEVERLY sunburnt....it hurts!!!,NEG
59,homework,NEU
60,My TI89 died. I don`t know why.,NEG
61,It's a wonderful app,POS
62,"6:29 pm - ok, let`s go now through #bowman #strategicClock but first.. a break :-0 aargh.. tired",NEG
63,Not feeling very well.,NEG
64,Easy to use. I will however like to have a time boxing feature for my daily activities.,POS
65,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,NEG
66, *hug*,POS
67,"_peek mkay :/ did you tell him on msn? bfgurelgbsr yeah, i guess so, i don`t know if i like it, i`ll wait till i get your opinion",NEU
68,"too much good food on this Mother`s Day. not that i`m complaining! Seafood, durian puffs and macarons! yum!",POS
69," Totally unsurprised that Dave isn`t coming back to 10. But Annalisa is wrong for it, opposite of big warm mellow Dave.",NEG
70,i`m hungry but can`t eat anything right now because my tongue hurts so bad.,NEG
71,"wowza, only the second tweet of my entire trip and i leave in 3 days   but first - BLOW UP SF TOMORROW NIGHT!",NEU
72,is getting married in Vegas in November by an Elvis impersonator am so happy!!!,POS
73, you dont say,NEU
74,OMG - Madness Just Came On The Radio,NEG
75,@_Freya Good Night,POS
76,"leaving work, going to crystal to search for her license, picking her and bia up, then heading to vegas. ugh i`m tired already",NEG
77, I`ma say you should smudge yourself before I start calling people given the malicious action we pulled the other night,NEG
78, hope u did alright on the final,POS
79,"Very nice, very simple, very usefull, but the free mode is too annoyingly limited. looking forward to having the ability to link habits with my wife or friends.",NEU
80, agreed,NEU
81,App is good but it could have better,NEU
82,useless I dont want to purchase the app as this free version offers no good features.. the paid app might be better..Rating 2 just because of the feedback on user review.,NEG
83,My breath is weezy.  No more going to knotts when you`ve been sick all week.,NEG
84,Been invited to join a group in Second Life called 'Ballistic Autistics'.  Cute name.,POS
85,"Some features widely requested and very useful are missing: - Task with due date should automatically appear on 'My day' - Forward email to Microsoft ToDo address and automatically add a task - Sort task by modification date, the ideia is to have on top the oldest task that I've updated - Very important feature, COMMENTS, ability to make comment on the task with timestamp - Tags, must have tags to more easily search and filter Please improved Microsoft ToDo with this features",NEG
86,"I wish it would sync, so I could use it on all devices",NEU
87,"Gonna go round up some DVDs to sell...  I will miss them, but I need money!",NEG
88,Wtf was that **** 5 mins before the marked closed...FAZ you cost me 4 grand,NEG
89,Got a Saturdays framed signed foto last night  and a Valentino rossi 1 aswell  eee what a night,POS
90,Very useful and flexible for scheduling tasks. It can be better by employing ML to guess the best choice of time for any task.,POS
